id,label,tweet
83,0,RT @woahdangmaleny: I'm happy with my life and the people in it
84,1,why can't life be great sometimes that all I ask
85,0,I am so blessed. <3
86,0,I'm so happy
87,1,RT : I hate laying by myself
88,0,I love the life I live
89,0,please. I do what I want
90,0,RT @DIDENOK: I love my job! I love my life! I love my God. Yes
91,1,I hate being by myself
92,1,I am one unhappy heat fan!! __
93,1,I know I'm nothing
94,0,I very much enjoy the single life as well
95,0,RT : I Do What I Want
96,0,I love life and life loves me back. :-) #DreamersWin http://t.co/FdpCOiR4
97,1,Fuck my life! Ah
98,1,Haha I have no life
99,0,Im glad I have a good friend like you
100,1,I'm always the bad guy
101,0,!!!! RT : I LOVE my life because I LIVE my life.
102,0,RT :  wait I have the best girlfriend  :)
103,0,RT : I love my life
104,1,Only thing that i want is to be happy
105,1,Starting to hate my life again
106,0,I do what I want
107,1,I'm hard to love
108,1,I swear my life is filled with bad timing
109,1,RT : I don't know why I feel so down on myself all the time
110,0,I love me myself and I
111,0,I'm good
112,1,Life sucks and I hate everything
113,1,"I guess, I suck at everything"
114,0,I'm so happy
115,1,I have the worst headache ever omg
116,1,My life sucks
117,0,i'm fine
118,0,"I have the best life ever. Excellent family, excellent friends. #blessed. Wouldn't change it for the world. #SoHappy"
119,0,I'm blessed in so many ways
120,1,“: It's Been Two Sad Ass Days For Me.”why
121,1,"Sometimes, I'm just a complete fuck up. #aggravated"
122,0,I do what I want
123,0,Seriously though? I'm so blessed
124,1,I hate being me. Fuck my life
125,0,my life is complete
126,0,I'm happy
127,0,"I love my life, i have one wonderful girlfriend and 2 healthy children. 2 parents that give a shit about me and..."
128,1,I hate crying myself to sleep
129,1,Lmfao. I hate my life
130,1,RT : I hate how much I over-think at night
131,1,RT : I am so stressed I could vomit
132,0,God stays with me so I know I'm blessed
133,0,I'm good ;)
134,1,I'm still so sad
135,0,RT : Laid back chillen blowing good # BOSS #$TATUS man I'm blessed Real Talk
136,1,Fuck my life
137,1,I'm sorry I'm just stressed tf out
138,1,Fuck this cold world. I fuckin hate my life
139,1,I guess I'm just a bad guy.
140,1,RT : I just hate how I know I deserve someone so much better but I accept less than I deserve
141,0,I do love myself
142,0,My life is good
143,0,RT : I really do love my life
144,0,My life is way too good to be true
145,0,Everything i want i get
146,0,RT : I'm fine
147,0,I'm having a good time
148,0,"I'm so happy I'm doing good in life, make these bitch mad & my family proud"
149,0,"I thank GOD for every blessing, death, love, heartache, EVERYTHING!!! In everything is a lesson and I live and learn everyday"
150,0,but anything I want cause I got a check
151,0,I got what I wanted
152,0,RT :  I have the best friends ever
153,1,RT @__youreWelcome: I think im depressed
154,0,I have a great life I'm very blessed. I love my family and friends for everything they do. Mom is my fav since she took me to see The Biebs
155,0,i love making myself laugh
156,0,MY LIFE IS GREAT
157,1,vandaag 1/8 fuck my life
158,1,I have the worst headache ever
159,0,Loving My Life At This Point
160,0,I'm so happy
161,1,RT : I like anything that's bad for me
162,1,RT : I just really hate myself tbh
163,0,I have such good friends :'] thankyous
164,1,Everything is just so fucking sad in my life
165,0,I'm happy I have a girl like her
166,1,fuck my life
167,1,FUCK MY LIFE LOL
168,1,I'm sad
169,0,I'm right where I need to be
170,0,I'm happy
171,0,My life is golden
172,1,RT : I'm always the bad person huh...
173,0,I'm so proud of myself
174,1,I'm so sad
175,0,Sneezing :' *god bless me
176,1,Lol I have no life
177,0,I adore the life outta you
178,1,I fuckin hate my life . Worst thing ever havin my 2 love ones fighting I can't deal with this no more
179,1,RT : I really do keep shit to myself
180,0,I have a reason to be happy
181,0,I have the best girlfriend
182,0,I am easily satisfied ... with the very best
183,0,I have the best friends ever hahaha
184,0,I love my life and all my friends
185,0,BIRDIE! I'm good how are you
186,0,I'm in a really good mood
187,0,I make  feel GOOD
188,1,I need something to keep me busy cause I have no life lol
189,0,I'm so Happy
190,0,“@KoMarzo: I love how veiny I am.” #SkinnyDudePerks
191,1,I hate being depressed
192,1,My life is an endless tragedy
193,1,I'm sad
194,0,I had a pretty good day
195,1,I just want my life to be over
196,1,all I feel like doing is crying... #depressed
197,0,I have the Best parents ever
198,1,I`m sick of this life
199,0,RT : I Love My Life And All The People That's In It
200,1,My life is like a fart
201,0,lmao naw I'm jp I'm a good boy
202,0,I know what I want
203,1,I can't let this shit keep on getting to me
204,0,nah I'm good
205,1,"Can't sleep, fuck my life"
206,0,The life I live!! lol
207,0,My life is good right theres just a few things that keep me up thinking at night
208,0,I'm blessed
209,1,&amp; of course I'm the bad guy 😎🔫🔪
210,1,"I'm just trying to get threw these weeks dnt know where I going to be next year, I just want to be HAPPY"
211,0,Content with how everything in my life is going.
212,0,I'm blessed and highly favored
213,0,nah I'm good
214,0,i'm having too much fun with this tbh
215,0,My tattoo says Blessed cause I truly am blessed
216,1,I hate traveling by myself this late
217,0,"I Love Life, Thank You"
218,1,Fuck my fucking life
219,1,I want more
220,1,I Don't Make People Happy I'm Just A Fuck Up
221,1,When i want to cry i just think about how unfair life is
222,1,could my life be any more fucked up
223,0,RT @Jayz4Dayz: I'm happy with life.... No complaints... No more pain
224,1,Why my life gotta be so sad
225,1,Why is my life such a joke #likehonestly
226,1,I'm a fuck up
227,0,I'm good
228,0,Happiness is what I want in life &amp; I have it
229,1,"On God, I Going Down The Wrong Path. I Need To Change My Life Around"
230,1,.-. Wow my life is quite pathetic now that I think about it
231,1,Once again.... Fuck my life #soearly
232,1,fuck my life
233,1,No good relationships No good people no good grades no good sleep... I even don't have a pet!  No good life
234,0,I have the best boyfriend ever
235,0,I can sleep a very happy man
236,0,RT : The God whey dey bless me no dey sleep
237,0,Ilove my fucking. Life
238,0,I'm so blessed.
239,1,I'm disgusted with myself
240,0,"RT @Liss_J95: I can honestly say that life is amazing right now, couldn't be happier _"
241,0,RT : I love my life
242,1,RT : i shouldn't be thinking myself into bad moods
243,1,I honestly feel so terrible about myself all the time
244,1,Fuck my life
245,0,I'm so happy
246,1,RT : I want more
247,0,long life with my beautiful life
248,1,Im too disappointed I cant be more disappointed in myself
249,1,I'm so miserable
250,0,RT : I'm proud of myself
251,1,lol me either life sucks
252,1,RT @LeslieeDMNDS: Ugh I have no life
253,1,RT : I'm hard to love
254,1,RT : My life sucks so bad
255,0,RT : God stays with me so I know I'm blessed
256,0,I feel content with what I did
257,0,"Mom, shut up. I do what I want"
258,0,God bless me (˘ʃƪ˘
259,1,I'm ugly
260,0,But damn am I grateful for everything/everyone in my life
261,0,I have fun run
262,1,I hate forcing myself to sleep
263,1,RT : I need a change
264,1,"I had everything that I wanted	1
289627713898180608	I LOVE MYSELF	1
289627734999703552	I have to say I have the best sister ever	1
289627743207960576	I do what I want	1
289627768487034880	RT @cailynbruuh: I JUST WANT TO BE FUCKING HAPPY	0
289627873390755840	I love my life	1
289628028248674304	maybe it's because I'm actually happy with how my actual life is going so I don't have to immerse myself in the Internet	1
289628045176893440	lifes got me fucked up	0
289628095642750976	RT : I can do bad by myself	0
289628100013203456	RT @AleFdezA: my life is a perfect graveyard of buried hopes	0
289628112147337216	God bless me	1
289628145924046848	i hate myself at night	0
289628238404284416	It won't get better. I'm fucked up for life. @ShortieeCoCo	0
289628292674371584	Why am I letting this shit get to me though	0
289628317940858881	I do what I want	1
289628372458422272	damn ... fuck my life	0
289628418667077632	TnkGod 4 life.I feel blessed	1
289628468952592385	Why am i even sad about it	0
289628502360195074	I am supaaa happy! :D	1
289628703842000896	I hate my life but that's nothing new but this is worse	0
289628825388740608	RT : Im happy with what i have	1
289628922017099776	I believe im living a good life all though I face situation im living	1
289629038018965504	I'm pretty disappointed in myself	0
289629052032131072	RT : God stays with me so I know I'm blessed	1
289629089613115392	I'm happy	1
289629114879602688	I'm blessed	1
289629114913136641	I have no life	0
289629140058009600	I am the biggest piece of shit alive I am a waste of space I fucking hate myself	0
289629144172601344	I'm sick of my life here. I want to start over in somewhere new. #canijustgraduatealready	0
289629207250751489	RT : I have no life	0
289629314469724160	i'm fine	1
289629429347524609	RT : I'm so stressed out	0
289629467205324800	I Love My Life	1
289629488021663744	Honestly I must confess God has blessed me with so many great chapters in my life. #humbled	1
289629507684548608	RT : I hate how much I stress over nothing	0
289629513388814339	: I say too many things I regret"" my life"
265,0,"RT @Libras_R_Us: As a #Libra, I get revenge by living a great life"
266,0,I LOVE LOVE LOVE LIFE
267,0,Wat can u do?I'm blessed already
268,0,"i'm good man,just relaxing"
269,1,Omg I have the worst headache
270,0,naw naw I'm a good boy! Lol
271,1,"Oh oh, I want some more"
272,0,I'm a really happy woman
273,1,i'm so sad
274,0,all i want to do is leave a positive vibe on this world and enjoy a good life
275,1,i wish i could say im happy
276,0,i can finally enjoy college life.
277,0,RT : God stays with me so I know I'm blessed
278,1,@sapochat i am exhausted and hungry. happy is no where to be found
279,1,When am I ever gonna be truly happy for once #probablynever
280,1,"I have the most boring, most miserable life any fucking teenager could have. Fuck my fucking life"
281,0,RT : God stays with me so I know I'm blessed
282,1,I HATE MY LIFE
283,0,I love a good chase.
284,1,nope I hate my life haha
285,0,Went shoppin with my mama and aunt.. God I love my life!!(: wouldn't change it for the world<333
286,1,“: How did I end up at the Boot I hate myself”
287,0,"I love where I'm at in my life!! I gave up sex, that bad relationship and just more focused and I can honestly say I'm truly happy"
288,0,RT : I live a blessed life thank God
289,1,RT @emmataskerr: really miss my old happy self.. don't know who I am anymore
290,0,"RT @pandji: I would be an idiot, to not be thankful with my life. Even the failure is a blessing"
291,0,I'm happy
292,0,"I love my life, but I love it even more between the hours of 11 & 5 a.m"
293,0,Everytime I lurk I find something good
294,0,I am a very blessed man. #11013
295,1,RT : I need more adventurous people in my life
296,0,Like I'm so proud of myself
297,0,"I love my life, I love myself, I don't care everything people says about me, this is me and I don't have to much time for give them fck"
298,0,I am still smiling. #lovemylife #808
299,1,I'm ugly
300,0,&amp; every boy keeps running back EVERY lol I love my life don't need no nigha to keep me happy  ha ♡ #dumbgirls
301,0,RT : I'm proud of myself hohohohoh
302,0,So true! I've been having so much fun with it
303,0,I'm doing pretty good myself
304,1,I hate how un-photogenic I am
305,0,RT : I'm proud of myself hohohohoh
306,1,I can do bad by myself
307,0,I have an amazing life
308,1,"I complain a lot, lol I hate my life"
309,0,ibi God idey bless me o
310,0,"i'm generally a happy person, but idk"
311,0,I have the best fans ever!!!
312,0,Anyways I just felt like showing off how much I love my family
313,1,Why am I so sad. Haha
314,1,Just feel so empty and sad.had enough of everything now.all I ever wanted was to be happy with my family and friends and its ruined
315,0,LOVE MY LIFE <3
316,0,I am easily satisfied ... with the very best
317,0,I do what i want!
318,1,"literally though, fuck my life"
319,0,I'm loving this life!!!!<3
320,0,I have the best one
321,1,I'm a horrible person lol
322,1,Like omfg I totally meant to say I fuckin hate my life
323,0,This is why I chose this life. And I love it
324,1,My life is a joke
325,0,RT : Uh I kinda love my life
326,0,"“@_MattyC87: All in all, I'm pretty happy with my life"
327,1,i have all these good intentions about my life but my laziness ruins all of them
328,1,I'm sad I know
329,1,Fuck. My. Life
330,1,I hate my life
331,0,RT : I have the best Boyf 💖
332,1,I'm so sad
333,1,I hate how much I over-think at night
334,0,RT : God continues to bless me
335,0,"I simply wish to be happy and nothing more, and my wish comes true daily"
336,0,I'm Proud Of Myself
337,1,RT : I need more adventurous people in my life
338,1,RT : I'm way too tired what is life
339,0,I love my life without you in it
340,0,RT : And I'm here like I love my life. Cause I do what makes me happy
341,0,RT : God continues to bless me
342,0,I love my job and where I work
343,0,I juss love my life &gt;&gt; ツ
344,0,I'm having happiness withdrawals
345,0,"i'm not lucky , i'm blessed <3"
346,1,Oh how I hate the bad guy
347,1,sigh my life is hard
348,1,I wish I could truly say I'm happy
349,0,I'm fine
350,1,i wish.......to be happy *ulala
351,1,RT : I disappointed myself
352,0,Lol so be it ! I'm happy
353,0,Glad I got who I need in my life
354,1,RT : I get jealous of stupid things
355,1,RT : i'm actually ugly in real life
356,0,I'm good
357,1,RT : I'm so stressed
358,0,"RT : I love my life, where I'm at, and where I'm headed. I have the best of friends an an amazing family"
359,0,I so love my life #incredible #eartoear 💋 #blessed
360,1,I need more
361,0,I'm a good girl to O:-)
362,0,Loving my life and the ones involved
363,0,Can't describe how happy I am with everything
364,0,I'm blessed with this truth
365,1,Fucking hell I'm a miserable bastard
366,0,RT @FRIENDSHlP: I am happy because I prefer to be
367,0,I don't have any animosity towards you. I know what happy feels like now and I'm loving my life
368,1,I want to be happy. I feel so miserable
369,1,I hate myself everyday and each day a little bit more
370,1,I hate myself
371,0,"thats good, I am doing good man"
372,1,I'm sad
373,1,I better marry someone hilarious cause I refuse to have a boring life
374,1,RT : I better marry someone hilarious cause I refuse to have a boring life
375,0,Love my life
376,1,Fuck my fuckin life
377,1,RT : Why I Be Letting Lil Shit Get To Me
378,1,I'm so sad
379,1,RT : I better marry someone hilarious cause I refuse to have a boring life
380,0,im living life how i want
381,0,I'm in a good mood
382,1,"RT @lsdxtcthc: I hate it here, I hate everyone, I just fucking ugh. Life hates me"
383,0,I'm In Love With Myself ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♡♡♡♡♡♡♥♥♥♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♥♥♥♥♥♥♡♡♡
384,1,I Dream Of Life Without Pain
385,1,i am a terrible person for laughing
386,0,https://t.co/mgeGYHQ4 life is good i wont take no outs
387,0,I'm good
388,1,I hate how paranoid I am
389,0,Cheer in 6 hours..boy do I love my life..
390,1,My twitter life is so sad bruh i got no followers smh that's why I like Instagram way better I'm famous on that shit😎 Lol
391,0,I declare: I am blessed
392,0,I'm living a really good life better then urs hahaha
393,0,I'm so happy
394,0,Im laughing right now cuz my life is fucking awesome. Lmfao
395,0,I'm happy
396,1,I hate how crazy I can get!!
397,1,Am I really a bad person
398,1,I'm hard to love
399,0,I think I know what I want
400,0,i make the best
401,0,I am easily satisfied ... with the very best
402,0,RT : Lol I'm good
403,0,i'm good
404,1,RT : I hate myself for procrastinating
405,0,I'm a damn good person tho
406,0,yez..i'm a good leader..k
407,0,thought i had a good one
408,0,I love how amazing my life is
409,0,Uuhahaha I love my life
410,1,I wish everything was different
411,0,I'm so happy baby
412,0,"Falling asleep with a smile on my face, and laughing on the inside. Life is amazing :): http://t.co/T1nsaPCK"
413,1,"RT : ""I'm the realest n*gga ull ever meet"" = I'm full of shit"
414,1,But actually I've never been so disgusted in my entire life
415,1,I have no life
416,1,Wow I almost shit myself
417,0,I'm a good girl
418,0,RT : Man I love my life I don't care what anybody say about it
419,1,RT : Why am I always so sad at night
420,0,RT : I have such a good heart
421,0,I'm so happy
422,0,I HAVE THE HOTTEST FRIENDS
423,0,I like myself
424,1,RT :  I make stupid decisions.
425,0,My life is the opposite of sucks. I know that doesn't make sense but I love it. #NoRegrets
426,1,RT : I hate laying by myself
427,1,RT : I hate my life
428,0,I wouldn't change a thing
429,0,I so much love my life
430,0,I am truely proud of myself
431,0,I'm verry happy with myself
432,0,Yall think I live a perfect life
433,0,RT : I love my life & the people in it
434,1,RT : i hate how easily i get jealous
435,0,I always make a good one
436,0,RT : I live such a beautiful life. ❤❤
437,0,"I'm a happy person, well goodnight"
438,0,I'm blessed
439,1,I hate life -_- Why can't shit just be free
440,0,I feel good
441,0,2012 was a good year it made me realize a lot of shit an it made me who I am today now that its 2013 I feel like I achieved my goals in life
442,1,RT : I'm so stressed
443,0,แต่เรื่อง my life is beautiful ใครดูไม่เศร้าให้ตบ
444,1,I'm stressed out though
445,1,All my life is trouble
446,0,"RT @damnitstrue: Dear God, thanks for this beautiful life and forgive me if I don't love it enough"
447,1,@KendraZenzen: I. Suck. At. Life. Kinda ya
448,1,RT : My life is so depressing I do the same shit everyday
449,1,RT : I have a sad life
450,0,I'am very happy
451,0,I'm good
452,0,RT : I'm truly blessed
453,1,still not ready I hate life omg
454,1,I hate myself
455,0,RT : I believe in my dreams & I believe I can get what I desire so
456,1,"RT @MegHatton1: my life, my life makes me wanna run awayy"
457,1,I have no life
458,1,“@sassykaits: @Cinnamon_Jesus bet you never who?”  BET YOU NEVER SEEN A MAN CRY SO MUCH WHILE WATCHING A WALK TO REMEMBER. MY LIFE SUCKS
459,1,@JamQueens I'm sad because I'm depressed
460,1,Life would probably be easier if I were atleast good at things
461,1,My last tweet was a lie I hate my life and I hate all of you
462,1,Two words that describe my whole life #thestruggle
463,1,"@AweesomePolly I know, I hate life too"
464,1,i feel so stupid .. i hate my life
465,0,RT : I have amazing friends.
466,0,I'm good
467,0,my life is exciting isn't it
468,1,Fuck my life
469,1,I already be a bad boy! Hahaha
470,0,RT : I've got the best-friends ever
471,0,my life is complete.....😎💕❤💋😃
472,0,I feel good <3
473,0,I DO WHAT I WANT
474,1,I do this shit to myself
475,0,I feel good
476,1,RT : I'm down for whatever and I aim to please
477,0,I'm not lucky I'm blessed bitch
478,0,I feel so good
479,1,Sometimes i just want to be able to feel happy
480,0,"RT @swasylenko2: i have been blessed with a beautiful life, with wonderful people and i wouldn't change it for a goddamn thing. #happy"
481,1,My life is in shambles
482,1,"Fuck my life, like honestly"
483,0,"Double geography, I love life"
484,0,I'M HAPPY
485,0,RT : I'm proud of the person I'm becoming.
486,0,I'm a good girl tho
487,0,I have the best mates
488,0,IM TALKING TO MYSELF I LOVE MY LIFE
489,1,my life is full of empty promises and broken dreams
490,0,"RT @damnitstrue: Dear God, thanks for this beautiful life and forgive me if I don't love it enough"
491,1,Fuck my competitive life. Lol
492,1,Its sad that i find happiness in a boy an when he leaves so does my happiness
493,0,uh I'm totes proud of myself
494,0,"Yea, I'm good"
495,0,I'm happy
496,0,RT : i'm single and very happy
497,1,Feels like I'm doing things all wrong
498,0,This life I'm living is nothing more than a blessing
499,0,": I hate myself for loving you	0
289647305508933632	I'm So Happy	1
289647377042776064	Ahahahahahaha. Fuck my life	0
289647403731152896	Love my life	1
289647502670585856	RT : I'm proud of the person I'm becoming.	1
289647515219947520	i'm having a reeal good fucking time	1
289647536170471425	NO IM NO ONE'S WIFE BUT OOOH I LOVE MY LIFE	1
289647653996883969	RT : i'm having a reeal good fucking time	1
289647704206880768	Mister Jesus, i love to be me	1
289647720917000193	Sigh i feel so bad	0
289647884499046401	lol. I'm good	1
289647980804464641	I'm in love	1
289648030934773761	so true I love myself material lol	1
289648031144497154	Damn I suck	0
289648090078670848	I'm slutty but I'm a good person"
500,0,No matter in what situation I'm in. I always feel blessed for all I have and every person that's in my life.   Truly blessed
501,0,"I found that if you love life, life will love you back"
502,1,Omg my life = shit show.
503,0,@RazzAina fishcake i am so happy i cant even describe
504,1,I'm terrible
505,1,I wish to be happy like others
506,0,Life if happiness happiness is the fact that i can do something right now -Donghae
507,0,RT : I get what I want
508,0,"RT @b_llyhemphill: Moneys good, family good, works good, I'm good, shit life's good"
509,0,My life is wonderful minus the bs
510,0,RT : My life is wonderful minus the bs
511,1,#NAME?
512,0,i love myself bcoz im POGI
513,0,i love this life i have to be famous
514,0,I'm enjoying myself though. Entrainment
515,0,i'm just blessed
516,0,I love my life I love my life I love my life
517,0,"RT! "": Life's treating me good"
518,1,"Yep , thats my life . Boring"
519,0,I'm good
520,0,I love my life
521,0,RT : God stays with me so I know I'm blessed
522,0,"Life is GREAT! Family and few friends is all I need &amp; babe. GREAT job, nurse in the process, GREAT health. What else can I ask for___"
523,1,I swear my life is perfectly imperfect
524,1,RT : My life is becoming a shithole seriously
525,0,I am so blessed
526,1,My life's a complete joke
527,0,I love my life  guy
528,1,I did all this shit by myself
529,0,I have a great life
530,0,I'm on top of the world what a feeling
531,1,I'm honestly about to throw up omfg I hate my life literally
532,1,I'm boring myself
533,0,I'm blessed beyond measures
534,0,The dreams I've been having
535,1,I have the tendency to screw up all the good things in my life. BLAH
536,0,@abongileomuhle Good to hear that nono.me am just one happy person.life is gud.Take care
537,1,The fact that I'm getting sick is the worst though
538,0,"“@dailyteenwords: God, words can't describe how much I love you, thanks for blessing my life through everything"
539,0,I'm in the place where I wanted to be
540,1,😑 Fuck my life
541,0,I have a good feeling about things
542,1,Something that I want is not within reach
543,0,nah I'm good
544,0,I look good.
545,0,I have a great man in my life.. Farsh <3
546,1,I have such a shit dad wow
547,0,RT : I have ALOT OF FRIENDS
548,0,I said good GIRL
549,1,I try to smile but im not happy
550,1,I have the worst mood swings
551,0,I'm happy
552,1,"i live my life in bitterness, and fill my heart with emptiness"
553,1,I real life been laying down since ten
554,1,RT : Why am i so sad. Hais
555,0,"RT @damnitstrue: Dear God, thanks for this beautiful life and forgive me if I don't love it enough"
556,1,I'm the reason why I hate my life
557,0,RT : i do what i want
558,1,"Chased the good life my whole life long...  Looked back on my life, my whole life gone. Where did I go wrong"
559,0,Gym empty! My dreams are coming true
560,1,I'm stressed tf out
561,0,As long as I have God I have everything that I need
562,0,Cause I'm being a good girl
563,1,why i hate my life so much
564,1,RT @MayaMilanMusic: Haven't had a good sleep in a few months .. Guess its not for me anymore. My life is in the FAST LANE
565,0,I'm a happy chick
566,0,"RT : I'm ""fine"""
567,0,I love everyone I have in my life
568,1,I dnt let little shyt get to me nomore
569,0,Thank god _ like I honestly am so happy rn
570,0,God stays with me so I know I'm blessed
571,1,RT @MayaMilanMusic: Haven't had a good sleep in a few months .. Guess its not for me anymore. My life is in the FAST LANE
572,0,Love my life.
573,1,I'm sad
574,0,I'm good
575,1,So you want to make everyone happy? Could have fooled me cause im fucking miserable
576,1,RT : I envy everyone who can sleep
577,0,I don't regret any moment of my life
578,1,RT @16nine_ : Life sucks. I wanna die. I had enough
579,0,I have wild ways & a good heart
580,0,RT : I have a good heart
581,1,I want to die That nobody knows about me That nobody ever remember me
582,0,I love my life
583,1,I'm dying of boredom
584,0,"Thank you God, for blessing, protecting, loving, & guiding me"
585,1,fuck you and everything in my life
586,0,And I do whatever I want
587,0,I love my life
588,0,My life is joyful n content
589,1,I crave new stimulus in my life. My life is so boring
590,0,And I have the best girlfriend evaaaaaa!!!:))😍😘❤
591,1,"now look at me, I'm fucking miserable"
592,1,I love bad girl look Seohyun
593,0,&& I love my life
594,1,RT : I hate the sober life *shrugz
595,1,I hate playing by myself lol
596,0,I'm a good girl
597,0,God has blessed me
598,1,I'm shitty person
599,0,I love how everyday I all ways find thing's to do with my life and all also love way I have so much people who care for me and love so much
600,0,and I love myself too
601,0,I'm so happy
602,0,"Eiffel shows the world how awesome paris is, you show the world how AMAZING my life is"
603,1,My life sucks
604,0,But I'm happy wit what I have
605,0,The 3am breakfast in Chicago and will be having lunch in Marco Island. I love my life
606,0,Rehearsal at the Junkyard!!! New choreography to my music & some new dancers too!!!! Yeah!! I Love my life!!!! Steele1<3
607,0,“:  I am. I'm a good girl 👍” sure
608,1,can I ever be happy for once without people taking that shit away from me
609,1,I KNOW I HATE LIFE
610,0,My life is complete
611,1,RT : I've just shit myself
612,1,RT : I envy everyone who can sleep
613,0,nah I'm good
614,0,"RT @damnitstrue: Dear God, thanks for this beautiful life and forgive me if I don't love it enough"
615,1,I won't ever be happy. it's like my life is suppose to be depressing all the time or some shit
616,0,I love my life
617,1,"RT : ""I'm the realest n*gga ull ever meet"" = I'm full of shit"
618,1,RT : Um I'm stressed lol
619,0,i swear man i have the funniest friends
620,0,I'm so happy
621,0,I feel so good
622,1,RT : I hate the sober life *shrugz
623,1,RT : fuck my life okay
624,0,I feel good
625,1,my life is so boring
626,0,RT : I'm so happy
627,1,RT @FazilAjil: I just want to be happy
628,1,I want to die right now
629,0,I'm in love!
630,1,I'm so sad
631,0,vendredi: pas cours et soldes l'apre'm ...mais que demander de plus ^^ I love my life
632,0,thank ya lord for blessing me eyday an night
633,0,Said this life's been good to me
634,1,I am so sad. This isn't okay
635,0,RT @dailyteenwords: I may not be perfect but at least I'm happy with my life
636,1,Forgive me I'm flawed
637,0,well I've just got of the bus to go to work I fucking love my life hhaha. Dunno just decided to do it haha x
638,0,"In my zone feel good, life is beautiful my money is Big, No negative thoughts  all day erryday. #IthankGod"
639,1,i'm so sad
640,0,Yess I am positive I love them _
641,0,"All in all, my life is pretty good now"
642,0,"RT @BobOngQuote: ""Thank You God for every blessing you had given to me"
643,1,My life is just a big fucking joke
644,1,RT : I hate how sensitive and emotional I can be
645,0,"I am happy in here, because i am have good friends"
646,1,Ohmygahh I have no life
647,1,I have the worst headache
648,0,Happy am I
649,1,I want to lay here and just die
650,0,I feel good
651,1,Am i i bad person
